iso_ts,ms,temp_c,hum_pct,heat_index_c,pir_raw,motion,occupied,fidget
2025-09-26T10:00:00,0,24.5,63.5,24.5,0,0,1,0.002
2025-09-26T10:00:00,250,24.52,58.1,24.52,0,0,1,0.0019
2025-09-26T10:00:00,500,24.53,62.4,24.53,0,0,1,0.002
2025-09-26T10:00:00,750,24.53,61.0,24.53,0,0,1,0.002
2025-09-26T10:00:01,1000,24.54,67.0,24.54,0,0,1,0.002
2025-09-26T10:00:01,1250,24.54,63.0,24.54,0,0,1,0.0021
2025-09-26T10:00:01,1500,24.54,56.4,24.54,0,0,1,0.002
2025-09-26T10:00:01,1750,24.54,63.3,24.54,0,0,1,0.0021
2025-09-26T10:00:02,2000,24.54,55.3,24.54,0,0,1,0.0021
2025-09-26T10:00:02,2250,24.55,61.1,24.55,0,0,1,0.0021
2025-09-26T10:00:02,2500,24.56,63.2,24.56,0,0,1,0.0022
2025-09-26T10:00:02,2750,24.56,61.1,24.56,0,0,1,0.0022
2025-09-26T10:00:03,3000,24.56,59.4,24.56,0,0,1,0.0022
2025-09-26T10:00:03,3250,24.57,60.5,24.57,0,0,1,0.0021
2025-09-26T10:00:03,3500,24.57,60.1,24.57,0,0,1,0.0022
2025-09-26T10:00:03,3750,24.58,64.4,24.58,0,0,1,0.0022
2025-09-26T10:00:04,4000,24.58,59.6,24.58,0,0,1,0.0022
2025-09-26T10:00:04,4250,24.58,53.4,24.58,0,0,1,0.0021
2025-09-26T10:00:04,4500,24.58,59.4,24.58,0,0,1,0.0021
2025-09-26T10:00:04,4750,24.59,57.1,24.59,0,0,1,0.0021
2025-09-26T10:00:05,5000,24.59,62.5,24.59,0,0,1,0.0022
2025-09-26T10:00:05,5250,24.59,57.7,24.59,0,0,1,0.0021
2025-09-26T10:00:05,5500,24.6,57.4,24.6,0,0,1,0.0021
2025-09-26T10:00:05,5750,24.6,59.6,24.6,0,0,1,0.0021
2025-09-26T10:00:06,6000,24.59,60.1,24.59,0,0,1,0.002
2025-09-26T10:00:06,6250,24.59,65.9,24.59,0,0,1,0.002
2025-09-26T10:00:06,6500,24.59,60.8,24.59,0,0,1,0.002
2025-09-26T10:00:06,6750,24.6,61.2,24.6,0,0,1,0.002
2025-09-26T10:00:07,7000,24.59,64.1,24.59,0,0,1,0.002
2025-09-26T10:00:07,7250,24.6,60.7,24.6,0,0,1,0.002
2025-09-26T10:00:07,7500,24.6,64.6,24.6,0,0,1,0.002
2025-09-26T10:00:07,7750,24.6,60.1,24.6,0,0,1,0.002
2025-09-26T10:00:08,8000,24.61,58.2,24.61,0,0,1,0.002
2025-09-26T10:00:08,8250,24.6,56.8,24.6,0,0,1,0.0021
2025-09-26T10:00:08,8500,24.62,63.6,24.62,0,0,1,0.0021
2025-09-26T10:00:08,8750,24.62,60.3,24.62,0,0,1,0.0021
2025-09-26T10:00:09,9000,24.63,58.8,24.63,0,0,1,0.002
2025-09-26T10:00:09,9250,24.63,53.6,24.63,0,0,1,0.002
2025-09-26T10:00:09,9500,24.64,57.2,24.64,0,0,1,0.002
2025-09-26T10:00:09,9750,24.65,59.1,24.65,0,0,1,0.002
2025-09-26T10:00:10,10000,24.65,61.5,24.65,0,0,1,0.002
2025-09-26T10:00:10,10250,24.66,61.7,24.66,0,0,1,0.002
2025-09-26T10:00:10,10500,24.67,62.0,24.67,0,0,1,0.0021
2025-09-26T10:00:10,10750,24.67,60.6,24.67,0,0,1,0.0021
2025-09-26T10:00:11,11000,24.67,62.4,24.67,0,0,1,0.0021
2025-09-26T10:00:11,11250,24.67,55.9,24.67,0,0,1,0.0022
